Ticker,Date/Time,Open,High,Low,Close,Pivot,R2,S1,R1,S2,R3,S3,ADX,RSI,composite,EMA1,EMA2,ADXs,MACD,Magic
Nifty 90's,31-01-1994,1083.74,1272.87,1082.8,1246.59,,,,,,,,,,,,,,,
Nifty 90's,28-02-1994,1229.93,1349.49,1195.39,1349.49,1200.75,1390.82,1128.64,1318.71,1010.68,1580.89,820.61,,,,,,,,
Nifty 90's,31-03-1994,1304.4,1304.4,1153.84,1177.11,1298.12,1452.22,1246.76,1400.86,1144.02,1606.32,989.92,,,,,,,,
Nifty 90's,29-04-1994,1182.33,1229.7,1147.98,1150.66,1211.78,1362.34,1119.17,1269.73,1061.22,1512.9,910.66,,,,,,,,
Nifty 90's,31-05-1994,1148.76,1210.82,1121.63,1187.19,1176.11,1257.83,1122.53,1204.25,1094.39,1339.55,1012.67,,,,,,,,
Nifty 90's,30-06-1994,1186.06,1318.56,1186.06,1249.44,1173.21,1262.4,1135.61,1224.8,1084.02,1351.59,994.83,,,,1231.29,,,,
Nifty 90's,29-07-1994,1262.06,1278.54,1241.22,1278.54,1251.35,1383.85,1184.15,1316.65,1118.85,1516.35,986.35,,,,1247.04,,,,
Nifty 90's,31-08-1994,1308.08,1373.29,1303.35,1373.29,1266.1,1303.42,1253.66,1290.98,1228.78,1340.74,1191.46,,,,1289.12,,,,
Nifty 90's,30-09-1994,1366.32,1384.94,1290.53,1290.53,1349.98,1419.92,1326.66,1396.6,1280.04,1489.86,1210.1,,,,1289.59,,,,
Nifty 90's,31-10-1994,1304.83,1326.63,1267.21,1267.21,1322,1416.41,1259.06,1353.47,1227.59,1510.82,1133.18,,,,1282.13,,,,
Nifty 90's,30-11-1994,1283.38,1283.38,1208,1245.75,1287.02,1346.44,1247.4,1306.82,1227.6,1405.86,1168.18,,,,1270,,,,
Nifty 90's,23-12-1994,1240.14,1240.14,1136.25,1182.28,1245.71,1321.09,1208.04,1283.42,1170.33,1396.47,1094.95,,,,1240.76,,,,
Nifty 90's,31-01-1995,1182.14,1182.14,1019.2,1071.23,1186.22,1290.11,1132.31,1236.2,1082.33,1394,978.44,,,,1184.25,,,,
Nifty 90's,28-02-1995,1061.76,1076.29,948.97,1014.72,1090.86,1253.8,999.57,1162.51,927.92,1416.74,764.98,,,,1127.74,,,,
Nifty 90's,31-03-1995,1027.68,1060.18,988.53,990.24,1013.33,1140.65,950.36,1077.68,886.01,1267.97,758.69,,29.17,,1081.91,,,,
Nifty 90's,28-04-1995,1005.37,1052.18,941.83,941.83,1012.98,1084.63,965.79,1037.44,941.33,1156.28,869.68,,26.66,,1035.21,,0.58,,
Nifty 90's,31-05-1995,908.64,997.4,908.64,997.4,978.61,1088.96,905.05,1015.4,868.26,1199.31,757.91,,33.72,,1022.61,,0.54,,
Nifty 90's,30-06-1995,1012.16,1016.21,961.23,961.23,967.81,1056.57,938.23,1026.99,879.05,1145.33,790.29,,31.59,,1002.15,,0.59,,
Nifty 90's,31-07-1995,938.5,1040.59,931.33,994.25,979.56,1034.54,942.9,997.88,924.58,1089.52,869.6,,35.6,,999.52,,0.54,,1
Nifty 90's,31-08-1995,993.5,1007.57,967.43,971.74,988.72,1097.98,936.86,1046.12,879.46,1207.24,770.2,,34.13,,990.26,,0.54,,0
Nifty 90's,29-09-1995,971.34,1018.88,960.68,1011.97,982.25,1022.39,956.92,997.06,942.11,1062.53,901.97,,38.97,,997.5,1134.17,0.57,,1
Nifty 90's,31-10-1995,1027.56,1044.31,985.77,988.26,997.18,1055.38,975.47,1033.67,938.98,1113.58,880.78,,37.23,,994.42,1120.28,0.65,,1
Nifty 90's,30-11-1995,1004.59,1004.59,822.54,862.1,1006.11,1064.65,967.92,1026.46,947.57,1123.19,889.03,,29.66,,950.31,1095.69,0.43,,0
Nifty 90's,29-12-1995,867.99,927.6,854.47,908.53,896.41,1078.46,788.23,970.28,714.36,1260.51,532.31,,34.91,38.67,936.38,1077.86,0.43,,0
Nifty 90's,31-01-1996,913.11,913.11,813.12,848.42,896.87,970,866.13,939.26,823.74,1043.13,750.61,,31.62,31.14,907.06,1056.01,0.39,,0
Nifty 90's,29-02-1996,848.28,1067.49,848.28,992.51,858.22,958.21,803.32,903.31,758.23,1058.2,658.24,,45,54.4,935.55,1049.96,0.76,,1
Nifty 90's,29-03-1996,994.66,1010.5,945.07,985.3,969.43,1188.64,871.36,1090.57,750.22,1407.85,531.01,,44.53,64.63,952.13,1043.81,0.76,,1
Nifty 90's,30-04-1996,988.33,1160.16,988.33,1114.36,980.29,1045.72,950.08,1015.51,914.86,1111.15,849.43,,53.82,89.04,1006.21,1050.52,1.18,,1
Nifty 90's,31-05-1996,1141.65,1141.65,1046.95,1089.92,1087.62,1259.45,1015.07,1186.9,915.79,1431.28,743.96,,52.04,90.59,1034.11,1054.28,1.18,,1
Nifty 90's,28-06-1996,1098.18,1203.11,1098.18,1122,1092.84,1187.54,1044.03,1138.73,998.14,1282.24,903.44,,54.18,92.5,1063.41,1060.73,1.37,,1
